"","name","type","latitude","longitude","population","year","gas","est_RFNB"
"1","Nain","Inuit","56.550322","-61.687865","1188","1979","25.8166666666667","219.220163004713"
"2","Hopedale","Inuit","55.457954","-60.211485","556","1979","27.225","199.520903121635"
"3","Rigolet","Inuit","54.179159","-58.429221","306","1979","27.225","212.65445976994"
"4","Postville","Inuit","54.908564","-59.770497","206","1979","27.225","208.803269274394"
"5","Makkovik","Inuit","55.09036","-59.176172","561","1979","27.225","205.753256257643"
"6","Inukjuak","Inuit","58.455121","-78.105103","1597","1979","23.95","202.933971280039"
"7","Ivujivik","Inuit","62.416667","-77.916667","370","1979","22.625","203.712955985855"
"8","Aklavik","Inuit","68.220102","-134.998551","633","1979","19.075","198.640515736756"
"9","Paulatuk","Inuit","69.348467","-124.07021","313","1979","19.075","200.166867403396"
"10","Sachs Harbour","Inuit","71.985123","-125.246483","112","1979","19.075","198.075429095468"
"11","Iqaluit","Inuit","63.746693","-68.516967","6699","1979","25.8166666666667","218.953974337631"
"12","Arctic Bay","Inuit","73.037575","-85.148031","823","1979","19.075","202.68970678337"
"13","Baker Lake","Inuit","64.317604","-96.022001","1872","1979","19.075","204.882121330472"
"14","Cambridge Bay","Inuit","69.108056","-105.138333","1608","1979","19.075","197.055367908666"
"15","Cape Dorset","Inuit","64.233304","-76.540568","1363","1979","22.625","200.824837964099"
"16","Chesterfield Inlet","Inuit","63.346514","-90.736827","313","1979","22.625","205.707194757341"
"17","Clyde River","Inuit","70.483874","-68.519828","934","1979","27.225","197.61532534259"
"18","Coral Harbour","Inuit","64.133739","-83.166893","834","1979","22.625","203.15811132423"
"19","Grise Fiord","Inuit","76.395732","-82.79391","130","1979","19.075","201.315648926717"
"20","Hall Beach","Inuit","68.772735","-81.235208","546","1979","22.625","212.130020627307"
"21","Igloolik","Inuit","69.366849","-81.824419","1454","1979","22.625","198.355155764021"
"22","Kimmirut","Inuit","62.847419","-69.869203","455","1979","25.8166666666667","199.459798294521"
"23","Kugluktuk","Inuit","67.815001","-115.136162","1450","1979","19.075","196.172681554212"
"24","Pangnirtung","Inuit","66.139533","-65.717481","1425","1979","27.225","200.402436069233"
"25","Pond Inlet","Inuit","72.700114","-77.958181","1549","1979","19.075","201.853825549057"
"26","Qikiqtarjuaq","Inuit","67.545148","-64.021831","520","1979","27.225","204.852959235977"
"27","Rankin Inlet","Inuit","62.808913","-92.087741","2266","1979","22.625","198.384384301823"
"28","Repulse Bay","Inuit","66.546565","-86.188196","945","1979","22.625","202.953793645662"
"29","Sanikiluaq","Inuit","56.540775","-79.222418","812","1979","23.95","205.657239669954"
"30","Whale Cove","Inuit","62.242523","-92.601676","407","1979","22.625","195.053846357073"
"31","Bathurst Inlet","Inuit","66.838889","-108.048611","0","1979","19.075","196.142325489542"
"32","Umingmaktuuq","Inuit","67.689851","-107.954525","5","1979","19.075","206.237975277625"
"33","Kangiqsujuaq","Inuit","61.59626","-71.953886","696","1979","23.8583333333333","206.419362018803"
"34","Kangirsuk","Inuit","60.023415","-70.026235","549","1979","25.8166666666667","128.034123374122"
"35","Kuujjuaq","Inuit","58.102996","-68.418839","2375","1979","25.8166666666667","133.57274980377"
"36","Kuujjuaraapik","Inuit","55.27457","-77.763784","657","1979","23.95","238.455936936782"
"37","Puvirnituq","Inuit","60.037118","-77.26923","1692","1979","23.95","119.937459541085"
"38","Quaqtaq","Inuit","61.041724","-69.639923","376","1979","25.8166666666667","184.977272891484"
"39","Salluit","Inuit","62.201285","-75.646856","1347","1979","23.8583333333333","149.028097725553"
"40","Tasiujaq","Inuit","58.697407","-69.937393","303","1979","25.8166666666667","224.571933226359"
"41","Umiujaq","Inuit","56.551953","-76.515001","444","1979","23.95","157.572279828269"
